REGISTRO,ANNO,NUMERO
PG,2023,73102
PG,2023,108323
PG,2023,71267
PG,2023,81127
PG,2023,87124
PG,2023,93663
PG,2023,55121
PG,2023,77895
PG,2023,43441
PG,2023,88839
PG,2023,101155
PG,2023,78232
PG,2023,29986
PG,2023,60828
PG,2023,90318
PG,2023,68095
PG,2023,58900
PG,2023,80054
PG,2023,92587
PG,2023,43775
PG,2023,85420
PG,2023,71840
PG,2023,75062
PG,2023,32514
PG,2023,88655
PG,2023,70955
PG,2023,106272
PG,2023,72578
PG,2023,56324
PG,2023,53824
PG,2023,88160
PG,2023,47799
PG,2023,89265
PG,2023,77400
PG,2023,81181
PG,2023,71608
PG,2023,101659
PG,2023,69127
PG,2023,88200
PG,2023,107909
PG,2023,60368
PG,2023,75191
PG,2023,43060
PG,2023,52657
PG,2023,44234
PG,2023,67642
PG,2023,78048
PG,2023,87850
PG,2023,43308
PG,2023,87608
PG,2023,54457
PG,2023,72725
PG,2023,101258
PG,2023,102170
PG,2023,74306
PG,2023,57011
PG,2023,88859
PG,2023,79482
PG,2023,57265
PG,2023,82454
PG,2023,46395
PG,2023,72118
PG,2023,65507
PG,2023,80959
PG,2023,66611
PG,2023,78078
PG,2023,70871
PG,2023,53095
PG,2023,76950
PG,2023,109064
PG,2023,42959
PG,2023,60428
PG,2023,75741
PG,2023,53081
PG,2023,44064
PG,2023,107756
PG,2023,54987
PG,2023,76041
PG,2023,55759
PG,2023,105138
PG,2023,75744
PG,2023,102486
PG,2023,105569
PG,2023,50627
PG,2023,78389
PG,2023,56210
PG,2023,67860
PG,2023,56855
PG,2023,59708
PG,2023,83748
PG,2023,62283
PG,2023,110276
PG,2023,105777
PG,2023,111317
PG,2023,62588
PG,2023,69136
PG,2023,77139
PG,2023,73371
PG,2023,102869
PG,2023,81956
PG,2023,44120
PG,2023,107493
PG,2023,41544
PG,2023,75879
PG,2023,65328
PG,2023,53987
PG,2023,77678
PG,2023,75493
PG,2023,75381
PG,2023,61844
PG,2023,41370
PG,2023,81896
PG,2023,77340
PG,2023,108025
PG,2023,91925
PG,2023,107598
PG,2023,55557
PG,2023,78420
PG,2023,90039
PG,2023,60906
PG,2023,108853
PG,2023,85458
PG,2023,105723
PG,2023,73542
PG,2023,65026
PG,2023,53645
PG,2023,100882
PG,2023,100874
PG,2023,89716
PG,2023,44825
PG,2023,61684
PG,2023,91023
PG,2023,83759
PG,2023,83155
PG,2023,101592
PG,2023,83659
PG,2023,103435
PG,2023,80736
PG,2023,55451
PG,2023,77663
PG,2023,41054
PG,2023,65963
PG,2023,50371
PG,2023,81372
PG,2023,53912
PG,2023,73407
PG,2023,90961
PG,2023,84068
PG,2023,57620
PG,2023,82772
PG,2023,85786
PG,2023,101593
PG,2023,111964
PG,2023,54905
PG,2023,66419
PG,2023,82509
PG,2023,71103
PG,2023,105715
PG,2023,65567
PG,2023,60709
PG,2023,68741
PG,2023,66217
PG,2023,44263
PG,2023,72920
PG,2023,81817
PG,2023,57979
PG,2023,32368
PG,2023,57931
PG,2023,81429
PG,2023,88521
PG,2023,71424
PG,2023,79399
PG,2023,69098
PG,2023,48659
PG,2023,76368
PG,2023,86423
PG,2023,87551
PG,2023,70839
PG,2023,86514
PG,2023,81940
PG,2023,81939
PG,2023,83493
PG,2023,86481
PG,2023,67948
PG,2023,84353
PG,2023,55992
PG,2023,53392
PG,2023,59182
PG,2023,87195
PG,2023,102248
PG,2023,60004
PG,2023,81239
PG,2023,75910
PG,2023,65428
PG,2023,106927
PG,2023,64859
PG,2023,57944
PG,2023,62736
PG,2023,55926
PG,2023,107423
PG,2023,70407
PG,2023,81168
PG,2023,85906
PG,2023,64294
PG,2023,69408
